,money_generated,impressions_count,city,state,zipcode,sole_proprietor,specialty,total_procedures,distinct_procedures,derived_specialty_list,event_ts,impression_cost,cbm_id,publicationid,is_pii_enabled,hospital_city,hospital_state,hospital_zip,hospital_latitude,hospital_longitude,hospital_size,hospital_system_membership,total_claim_count,total_drug_cost,money_generated_log,total_procedures_log,distinct_procedures_log,total_claim_count_log,total_drug_cost_log,sub_specialty_count
0,0.07209299999999999,3,BOW,NH,03304,N,Cardiology,25.0,10.0,CD,2020-11-24 16:10:39,1.092555,5918490,SEMPA,1,Concord,NH,3301.0,43.1971,-71.561,Medium,0.0,492,27744.26,-1.1421069018403305,1.3979400086720375,1.0,2.6919651027673597,4.44317314572245,1.0
1,0.12917599999999996,32,BOW,NH,03304,N,Nurse/PA/Technician,25.0,10.0,CD,2020-11-24 16:10:39,1.092555,5918490,SEMPA,1,Concord,NH,3301.0,43.1971,-71.561,Medium,0.0,1818,124220.94,-0.8888181677323618,1.3979400086720375,1.0,3.2595938788859486,5.094194811298748,1.0
2,0.00315,1,NEWFIELDS,NH,03856,N,Internal Medicine,11.0,10.0,"IM,MPD",2021-01-12 17:47:23,0.167647,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,77,502.88,-2.5016894462104,1.0413926851582251,1.0,1.8864907251724816,2.7014643636735047,2.0
3,0.022761,1,NEWFIELDS,NH,03856,N,Internal Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:13:32,0.155182,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,2766,118165.29,-1.6428086612162704,1.0413926851582251,1.0,3.4418521757732923,5.072489925147353,2.0
4,0.013276,4,NEWFIELDS,NH,03856,N,Bariatric Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:13:32,0.155182,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,221,22239.36,-1.8769327562634337,1.0413926851582251,1.0,2.3443922736851106,4.347122285047261,2.0
5,0.048228,2,NEWFIELDS,NH,03856,N,Internal Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:08:37,0.049719,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,41,2842.23,-1.3167007477603403,1.0413926851582251,1.0,1.6127838567197357,3.4536592191541367,2.0
6,1.270086,12,NEWFIELDS,NH,03856,N,Bariatric Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:08:37,0.049719,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,5011,255861.49,0.103833128877939,1.0413926851582251,1.0,3.699924402742477,5.408004924656002,2.0
7,0.234132,2,NEWFIELDS,NH,03856,N,Internal Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:21:38,0.158769,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,6782,390951.18,-0.6305392250318583,1.0413926851582251,1.0,3.831357785442068,5.59212252829007,2.0
8,0.129028,2,NEWFIELDS,NH,03856,N,Bariatric Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:21:38,0.158769,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,1177,86357.2,-0.8893160344606916,1.0413926851582251,1.0,3.070776462843434,4.936298552556786,2.0
9,0.049822000000000005,10,NEWFIELDS,NH,03856,N,Internal Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:22:04,0.158074,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,15,176.38,-1.3025788426058205,1.0413926851582251,1.0,1.1760912590556811,2.2464493382670443,2.0
10,0.01544,3,NEWFIELDS,NH,03856,N,Bariatric Medicine,11.0,10.0,"IM,MPD",2020-12-10 21:22:04,0.158074,5753963,AMA,0,Lebanon,NH,3756.0,43.676,-72.273,Large,0.0,213,11861.65,-1.8113527040002824,1.0413926851582251,1.0,2.3283796034387376,4.074145105221578,2.0
